Tweets,Class
"@TMZ I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@siyasinterlude I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"HELP
https://t.co/6qcq5VW8na

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Anxitey
"@nicksawaboy @theestallion I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"""Hey Diddle Diddle - The Film"" DOWNLOAD On iTunes:   https://t.co/1IfZCJTSvN  Let us know what you think! #social #anxiety #film #mentalhealth",Anxitey
"@samplesmedia I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"Post 1

: being the ass end of a joke for months is intimidating and mentally exhausting, honestly humanity can be harsh when they fail or refuse to understand others #depression #anxiety #mentalhealth #mentalillness",Anxitey
"@wydccalamity I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@omarservin1071 I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@KeemWard25 I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@IAmSteveHarvey @Forever_Gifted I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@YoGotti I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@goal @Cristiano @AnthonyElanga @ManUtd I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"Can #microdosing psychedelics help curb #anxiety? Executive Director of Mind Medicine Australia, @TaniadeJong discusses the potential in #psychedelic-assisted #psychotherapies on the Healthy-ish Podcast. 
#psilocybin #shrooms #mushrooms #LSD #MDMA #DMT  #drugs",Anxitey
"PARENT
https://t.co/o8p5asDpq8

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Anxitey
"@goal @Cristiano I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@AmadouItLater2 I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@Rap I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@fullautojayy I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@moodhby I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"@MillsReggie I'm a grower of indica, hybrid and sativa strains. Got carts, edibles, shrooms, acids. I also offer free medical prescription to my clients faced with health issues like #cancer #backpain #migraines #ptsd #depression #seizure #epilepsy #anxiety.",Anxitey
"GRIEF
https://t.co/y1Zm6tu6Oq

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Anxitey
"relationship
https://t.co/mjACjoSnfH

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Anxitey
"money
https://t.co/lE86MtZaJI

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Anxitey
"drink
https://t.co/XFnmMcJy3B

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Anxitey
I  think I'm just a bother to everyone. I'll kill myself . #anxiety @Imheret45140132,Anxitey
"social
https://t.co/v694YL8nNy

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Anxitey
"life
https://t.co/v5nTNlzdc4

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Anxitey
"fail
https://t.co/D9BREtMNt4

#addict
#addiction
#AddictionRecovery
 #Anxiety
#anxious
#AskForHelp
#bipolar
#bipolardisorder 
#bpd 
#breakthestigma 
#counselling  
#Depression
#endstigma 
#endthestigma
#faithoverfear
#familytherapy 
#happiness",Anxitey
"Well... its internet official. No longer Facebook friends. I'm honestly surprised how badly I'm taking it... 

#triggered #alone
#divorce #separation #mentalhealth #Anxiety #depression #panicattack",Anxitey
When “I Get To” Turns Into “I Have To” https://t.co/pr4CylHFcX #anxiety #brainfog,Anxitey
"You are needed. You may not even know them yet, they may may not even be born yet but they will need you. Trust me, there are people in this world that want you and need you! #Anxiety #Depression #MentalHealth #MentalHealthAwareness #MentalHealthMatters https://t.co/3UeTvqTN41",Anxitey
“Just Breathe.” https://t.co/kSGoSx4BMr #CALMDOWN #amazon #zen #breathe #justbreathe #Twitter #MentalHealthMatters #Mindfulness #mentalhealth #Peace #breathing #anxiety #yoga #care #mountains #river #flow #Easy https://t.co/lGtLpWVGd2,Anxitey
"How can #yoga help people with #anxiety?

Evidence is growing to suggest that, when used as an adjunct treatment, yoga therapy can be a truly helpful response. 

Heather is the founder of @MindedInstitute. Read her blog on yoga for anxiety at https://t.co/t797UE3Ovl https://t.co/KbClEDk0Pw",Anxitey
Can warm bath work better than #medicine for #anxiety? Hmmmm  https://t.co/e9Myz7hwQV https://t.co/EIVEDE6DZo,Anxitey
"Looking for a gift? How about a wonderful fidget necklace?

@divergentmclub makes fantastic jewelry that is useful for people dealing with #anxiety, focusing, #autism and ADHD and people taking exams/ studying!

Check the image for details!",Anxitey
"It's a sad day today I don't know why, it brought back things I used to do when I was depressed. I was so exhausted and lethargic without doing anything. Difference is, I now have someone that's supporting but the battle is still my own #depressed #anxiety #Mentalhealth",Anxitey
Mental illness is real #mentalhealth #depression #anxiety,Anxitey
"#Parents #Anxiety #Depression #PTSD #OCD #AddictionRecovery #BPD #Bipolar #ADHD #ADD #Selfhelp. Did Solo w/I Love as much as goin with Son, as get to talk with People from all over world when at the Nat. Prks, providing Book cards &amp; Message on MH TRUTH including OMG of course :)! https://t.co/cJwJAgwTje",Anxitey
Eliminate your anxiety 💙 #MentalHealthMatters #Crypto #anxiety https://t.co/0T1IdzJzQd,Anxitey
Eliminate your anxiety 💙 Part 1. #StressAwarenessMonth #anxiety #Easter https://t.co/rsGLgejJlY,Anxitey
"""Look at the birds of the air: they neither sow nor reap nor gather into barns, and yet your heavenly Father feeds them. Are you not of more value than they?"".  
- Mat 6:26 

🌿🐦 🌅
#anxiety #Bible #Jesus #quote 📷 @vincentvanzalinge https://t.co/2pqE3IpIOj",Anxitey
"#Parents #Anxiety #Depression #PTSD #OCD #AddictionRecovery #BPD #Bipolar #ADHD #ADD #Selfhelp.Last day at GC did a 10 mi, 3010 ft dwn &amp; up hike, beyond Grub supplies w/planned f/6... Someone said 8mi; DA me! Zero Energy when got back t/top 7 3/4 hrs later, but Epic w/Memories. https://t.co/Y58gld6gbO https://t.co/9D1YB6Iotw",Anxitey
"Do you ever wonder what Jesus would say about #anxiety, #fear and #worry? Or, how he addressed them? His answer was simple. Three little words. https://t.co/D3yJVtryyB via @DrMBengtson",Anxitey
"Jury Awards $450,000 to Man Fired Over Unwanted Office Birthday Party https://t.co/YmjF4NVR4D #anxiety #socialanxiety",Anxitey
@LiebeRosemarie was a nice lunch but I shouldn't have gone #anxiety My sister wound me up beyond belief ! was so glad to get home XX when do you go home  ? xx,Anxitey
"When I don’t have #control over a change or transition, my #anxiety takes over. The thing becomes ridden with fear and I #procrastinate and avoid the change at all costs. 

#ActuallyAustistic #AutismAcceptanceMonth",Anxitey
"Interested in improving your emotional health, reducing anxiety and depression and feel more authentically connected? Then you might like the Change Triangle. Watch a “Full presentation on the Change Triangle”
#emotionalhealth #anxiety #depression #tools 
https://t.co/eFw1lbw5Kc",Anxitey
"#AnxietyFeelsLike the sudden realization the world is as horrible as you've always imagined.

#Anxiety #MentalHealthMatters #mentalhealth #disabilities #depression",Anxitey
"What a blessing to talk about #childabuse and how to #heal from #trauma with Michael Raimondi on @azfamily this morning! Video clip coming tomorrow! #follow

#walkwithwalt #God #blessed #childabuse #hope #traumahealing #mentalhealth #anxiety #wisdom #removethestigma https://t.co/UvZ2LNxOR5",Anxitey
"Changing From the Inside Out.

A quick read on personal growth – what shall you do today to begin living your best life?

https://t.co/Srd7xh4ysZ

#SundayMotivation 
#stress #anxiety https://t.co/tzL78Kn4ao",Anxitey
"“Listen to this podcast.” “Read this blog article.” “Watch this YouTube video.” “Meet this person.” “Play this XR experience.” 24/7. How can I enjoy living, learning, improving, and finding wonder my own way without it feeling like a sin? Any advice? #INFJ #anxiety",Anxitey
"Your life was well spent because you learned from the experiences that shaped you! So love yourself, no matter how hurtful experiences you have 💖

#Youdeservetobementallyhealthy #Thementalwealthbox
#Investinyourmentalhealth #Thementalwealthtribe #anxiety #depression #ptsd https://t.co/uywfk8OWfE",Anxitey
"For #StressAwarenessMonth head over to @motleylondon and take a look at the amazing jewellery designed by Charlotte Garnett.

👉 https://t.co/9DptEaL4R3

The range is practical and helps to relieve #stress and #anxiety. 10% of every order goes towards supporting SANE. https://t.co/ykbn24zisl",Anxitey
"TRY IT: Instead of taking an over-the-counter sleep aid, try our vegan, sugar-free, non-GMO gummies that are known to ease #anxiety and improve your #sleepquality. 
💤Sleep well when you take the leap with our slumber shots. Learn more at https://t.co/1KoA5p4ryX #sleepwell #zzz https://t.co/gWGdeCiWuM",Anxitey
A new study reports that living with artificial eyes can have negative psychologic effects. https://t.co/iB4eTOCW99 #oculoplastics #anxiety #depression,Anxitey
"Happy Easter 🐣  🐰 🐥   - Remember what todays really all about. 
#easter #beliefinJesusChrist #eastercandy #easterbunny #eastermemories #easterdinner #anxiety #depression #depressionsupport #healing #Healthanxiety #healthylife #recovery #selfcare #WakeUpSense https://t.co/F8r80IsoZi",Anxitey
How do you live with someone who has extreme anxiety? https://t.co/3CP1tO0wEn  #panc #anxiety https://t.co/wKih2chlnf,Anxitey
"Did you know that for just Ksh 200, you can consult with a psychiatrist at @HospitalMathari ? In the same way that we give our physical health attention, let's tend to our #mentalhealth too. #Depression , #Anxiety .... there's affordable help for you and your loved ones.",Anxitey
"He asked a manager not to throw him a birthday party because he had an #anxiety disorder. When other employees planned a celebration, the situation spiraled out of control.

Now, a jury has awarded him $450,000 for lost wages &amp; emotional distress. https://t.co/J2jBMb3fK3 @nytimes",Anxitey
"📣 New Podcast! ""The Real (Gospel Talk) With Stevie Bennett Jr"" on @Spreaker #anxiety #kids #love #talk https://t.co/ailW1Gw7QY",Anxitey
"#SundayWisdom
Remember that it's okay and normal to not have all the answers or know the next step. Having anxiety over the future is common, but we can learn how to manage stress and ways to cope with the unknown.

#Anxiety #SilencetheShame https://t.co/sIOEQx7g84",Anxitey
"Waiting for @deathdropplay to start, excited but also just that slightly anxious and a little overwhelmed #anxiety #deathdrop #london https://t.co/nGZzOKoXgX",Anxitey
"🙋‍♀️  Who isn't highly aware of their own #anxiety? Use #AnxietyAwarenessMonth to learn more about this #MentalHealth disorder with clinically relevant research and insights. https://t.co/zLosT07bRj

#EndTheStigma #MedTwitter #Psychiatry #PsychTwitter https://t.co/YTrOHM38S1",Anxitey
"Up, Down https://t.co/0RG75ugAfD via @YouTube

@GoTeeBaby 

#anxiety #TeeMfnBaby #hinoon #SundayMorning #bingewatch",Anxitey
love this thread 🫶🏽 #anxiety #anxietybrain #stressrelief #SelfCareSaturday https://t.co/JgLkSlqdoJ,Anxitey
"#school shapes our perception of what's right &amp; wrong in the world of work. What I was taught still affects me to this day at uni &amp; work creating lots of avoidable #anxiety. But I'm grateful for being surrounded by much more supportive ppl now.
#mentalhealth #MentalHealthMatters",Anxitey
"An American man has won $450,000 (₹3.4 crore) in damages after suing his former employers for allegedly firing him for being ""angry"" that his office threw him a surprise birthday party. 
#Anxiety #panicattack #angry #America #Trending #Corporate #employees #office #birthday https://t.co/1Uj3lCiu0B",Anxitey
"AD - affiliate // I can’t recommend BeYou’s CBD products enough! 💙✨ They work so well and help my chronic pain, anxiety and sleep 👌🏻 Get 10% off your first BeYou CBD order with the code ATBK10 here 👉🏻 https://t.co/rhMdEikkLH #chronicpain #endometriosis #endo #anxiety https://t.co/3ys7leihvO",Anxitey
"Huge thank you to Hans @hctf for taking the time to give us a real listen and reviewing our EP Reflections- Check out the article and then stay to read the other reviews, lots of good stuff here! #ALTRock #shoegaze #postrock #psychmusic #moody #emotions #anxiety #distopian #dream https://t.co/PvoIkvtvSw",Anxitey
"Most of us were never taught how to FEEL our feelings. As a result, we often end up FEEDING our feelings with negative thoughts and with behavior choices that worsen how we already feel.

Don't FEED your emotions. Get skillful. 

#resilience #mentalhealth #selfcare #anxiety https://t.co/VlfVZBUVXM",Anxitey
"Are you bothered by unhelpful thoughts?

 https://t.co/2vzA8fnxwj 

Perma Hypnotherapy helps adults get back on top of things to manage and sustain their wellbeing. Learn more by clicking on the link above.

#SundayThoughts 
#stress #anxiety https://t.co/xr27HLQBU9",Anxitey
I’m tired of fighting against my own mind every single day #anxiety #depression #mentalhealth #MentalHealthMatters #selfcare,Anxitey
"(Shared Links (weekly) April 17, 2022) - https://t.co/ulXN6O5DhQ - #Abuse #Anxiety #Grief #Healing https://t.co/tfnz0awigb",Anxitey
Have you tried binaural beats for #anxiety and #depression symptoms? https://t.co/n7UJWXCwC6 #music #binaural,Anxitey
"'When you have depression you feel like you're the only person out there', says Bruce Ross, who lives with depression that hasn't responded to medication 

#healthing #canada #health #healthnews #depression #anxiety  https://t.co/oPl6NgtlJ4",Anxitey
"May this day bring you blessings of love, joy, peace, and hope! #sleep #anxiety #HappyEaster #EasterSunday #EasterWeekend https://t.co/RFNyWL7zhD",Anxitey
"@MissHair_BICT 👣🔎Who ARE You❓FIND Your PURPOSE‼️
 
#BookRecommendation ➡️🔗https://t.co/0rDfmlqqz7

#Purpose #self_development #life #anxiety #Saturday #April #LoveYourself #journey #love #Happiness #quote #JOY #FindYourself #today #MentalHealth #book #Trending #WhoAreYou #wisdomoftheday https://t.co/VOshTs2aYX",Anxitey
"Stuck between don't overthink about the future and just go with the flow mentality which is destroying each and every moment of the life
#AdultingAndStuff #Anxiety",Anxitey
"No Remorse (Radio Edit) https://t.co/zMYa0wtIN9 via @YouTube 

@GoTeeBaby 

Good morning 🥰🍰 #noremorse #anxiety #hinoon #rehab #NewMusicAlert #HappyEaster",Anxitey
"Long car rides give lots of time to play around

#aiart #AIArtwork #aiartist #aiartcommunity #digitalartwork #digitalart #mentalhealthawareness #anxiety https://t.co/sqCAtcW4dR",Anxitey
"Taking breaks allows your brain and body to get the necessary recharge it needs to keep going.

#breathwork #trauma #healing #trauma #mentalhealth #ptsd #healing #anxiety #depression #mentalhealthawareness #therapy #selfcare #selflove #recovery #love #traumarecovery #cptsd #abus https://t.co/dK5TefJhEA",Anxitey
I think one thing that does cause #unhappiness is protracted #anxiety and #worry.,Anxitey
Trouble flying? This podcast is for you https://t.co/7Rt0WbjYxq #travel #airlines #anxiety #panic https://t.co/m1gdE3Thz2,Anxitey
"Having cancer is an emotional roller coaster.
Cancer changes SOOO many things in a person's life.

If your loved one isn't quite feeling or acting like themselves, it's actually quite normal. 

#lonely #anxiety #emotional

Learn more: https://t.co/VTkT7QLLsy https://t.co/2i6Y6SzhRh",Anxitey
"Last Chance to sign up for Emotions Education 101 Train the Trainer April 22 1-5pm ET! Learn more here:
#traumainformed #emotionseducation #emotionalhealth #thechangetriangle #anxiety #depression #growthmindset #wellbeing #tools #curriculum #emotions 
https://t.co/fHOTvoEpj4 https://t.co/Suixixmapx",Anxitey
I hooked up with a guy today who I actually really like and I cried when he asked me if I was okay. Embarrassment is an understatement. #depression #GAD #anxiety #anxietydisorder #lgbt #gay #bi #love #heartbreak,Anxitey
"Today decide to embark on your journey of healing. Practice coming one step closer to your pure nature each day. You don’t need to go anywhere, you need to come back to your true nature. Take the first step NOW!#mentalhealth #selflove #SuicidePrevention #life #anxiety #depression",Anxitey
This. Be kind to others and love yourself always. #mentalhealth #MentalHealthMatters #MentalHealthAwareness #bipolar #bipolardisorder #CPTSD #PTSD #depression #Anxiety #stress #BPD #borderline #abused #narcissisticabuse #recovery #care #trauma https://t.co/VUGNL1loyV,Anxitey
Having Easter at my sister’s and I’ll stay there a few days. The pit of anxiety in my stomach has had me up so early. I’m so tired of this shit. #agoraphobia #PanicDisorder #anxiety,Anxitey
"For therapists and coaches: Learn how to work with emotions from the comfort of your own home. #depression #anxiety #psychotherapy #AEDP #trauma #childhoodtrauma #traumainformed 
https://t.co/WMuDZfR9hr",Anxitey
"Anxiety is not a disease, it's just a symptom #anxiety #stress #dealwithit",Anxitey
(T-9907) It’s Gud to spend sonetime daily with nature during first 1000 days -fresh air oxygen sunshine Helps focus attention memory and sleep #natureecd #anxiety #depression #first1000days,Anxitey
"#Physicalactivity is one of the pillars of good health alongside #nutrition, sleep, and #hydration.
-Mercoladotcom

At least try to walk 1000 steps a day :D 

#purehealthyliving #goodhealth #mentalhealth #lowbackpain #anxiety #boneloss #depression #dailywalk #exercise https://t.co/tv2Wwv3nVH",Anxitey
"Make a change &gt; with #BWRT #Queenism
#RebootYourLifeWithBWRT #selfhelp #books #anxiety #fear #selfworth #confidence #relationships
@QueenofOwnLife @books 
@BWRTInstitute @chenoaparr @CrownHousePub https://t.co/F0YJAP53y1",Anxitey
I  think I'm just a bother to everyone. I'm going to hurt someone . #anxiety @Imheret45140132,Anxitey
"Happy Easter from our family to yours.

https://t.co/7eeu1ftpQP

#hemp #cbd #cbdforpets #knowyourfarmer #shoplocal #smallbiz #supportsmallbusiness #goodvibes #vegan #glutenfree #dairyfree #oakcreek #sleep #stress #pain #anxiety #goodvibes #tincture #gummies #moisturizer #topicals https://t.co/4KF5mb5pUz",Anxitey
"I swim for my sanity &amp; well-being at my @ymca 🏊🏾‍♂️🏊🏼‍♂️🏊🏽‍♀️🏊🏿

#PTSD, #depression &amp; #anxiety CAN all be DIMINISHED by #exercise 👍🏽

I’m LIVING proof 😊

I hope YOU find your happiness too 🙏🏽

#ETwithPTSD

✌🏼👽 https://t.co/YTkcphVcsF",Anxitey
"@JINeuroscience #Neurological Sequelae of #COVID_19 by Dr. Samuel J. Ahmad and David J. Altschul @EinsteinMed @EinsteinDeptMed https://t.co/cWeve1z0Hp 
 #COVID19 #Coronavirus #SarsCoV #Omicron #BA2 #BA5 #XE #ischemic #stroke #headache #GuillainBarresyndrome #depression #anxiety",Anxitey
"Anxiety ko set in hone ka time hi ni dene ka re baba.... not stepping out of comfort zone anytime soon...🙃
#Anxiety",Anxitey
Selective Mutism is a anxiety disorder that is often misunderstood. Here are 8 myths about SM to clear up misconceptions and raise awareness. #selectivemutism #SM #anxiety  https://t.co/AOBQ8LIPko,Anxitey
"This is SO cute! It's great for littles that struggle with anxiety or depression.
https://t.co/cEdz6sXqYG

#depression #anxiety #ddlg",Anxitey
Anxieties #anxiety #gerardway #mychemicalromance #MentalHealthMatters https://t.co/Lkvljb3Ja7,Anxitey
"Start each day with a grateful heart!💜

#womenntune #mentalhealth #mentalhealthawareness #selfcare #selflove #love #anxiety #motivation #depression #trauma #letitgo #health#mentalhealthmatters #life #mindfulness #loveyourself #wellness #inspiration #fitness #healing #happiness https://t.co/RrBEO65ojZ",Anxitey
"George had a “wall” around his heart. It kept him safe but it cost him too. He wanted more intimacy. How could he allow his wall to come down without opening him up to great vulnerability?
#anxiety #emotionalhealth #thechangetriangle #tips #socialanxiety 
https://t.co/lMl381o1WP",Anxitey
"An easy, accessible book &amp; audiobook that organizes your mind &amp; shows a path to healing the wounds of our lives.
#emotions #anxiety #emotionalhealth #emotionseducation #thechangetriangle #wellbeing #anxietyhelp #depression #depressionhelp #authenticself
https://t.co/TrlJPC99r4",Anxitey
Is Taking a Mental Health Day Actually Good for You? https://t.co/RAL5E2g4Lm #Psychology #Therapy #Anxiety #MentalHealth #Psych,Anxitey
"New article on substack: #anxiety #OCD

https://t.co/wmGexDC06P",Anxitey
"GUYS WITH BODY IMAGE ANXIETY ARE NOT ALONE

https://t.co/mSEnSRHx85

#anxiety #depression #MentalHealth #therapy #healing #wellness #mindfulness #motivation #recovery #meditation #lifestyle #health #fitness #energy #vegan #love #covid #SundayThoughts #SundayVibes #SundayMood https://t.co/24fWXbaE38",Anxitey
7 Common Myths and Fears about #Therapy Explained By A Mental Health #Therapist https://t.co/rtbwyH2g2J #anxiety,Anxitey
The latest Species Universe ®! https://t.co/dSNxREDee9 Thanks to @cfenollosa @socialgood @ColasZibaut #anxiety #news,Anxitey
"Don't be fooled by the unhappy face.
Inside I felt great actually getting out today.
#Anxiety I told to F.O. today.
Struggling with my hip but I did it. 
Happy Easter. https://t.co/bcIUIv73eC",Anxitey
"The reason why bringing attention to the breath is calming is because it grounds you back into your body. Technology is not real, so when you give your attention to it, it ungrounds you elevating #anxiety, and disconnection. #depression #mindfulness",Anxitey
8 AM EST Reminder: You are ok. You are safe. Don't panic. #anxiety #calm #panic,Anxitey
"Quote Of The Day
#mentalhealth #mentalhealthawareness #selfcare #love #anxiety #mentalhealthmatters #depression #mindfulness #wellness #life #loveyourself #inspiration #therapy #happiness #positivity #positivevibes #mindset #quotes #meditation #mentalillness #wellbeing https://t.co/L0atwRBwSm",Anxitey
"If you are struggling, please reach out ❤️⁠
⁠
No one should have to face a mental health problem alone.⁠
⁠
#mentalhealthawareness
#westsussex⁠
#depression⁠
#anxiety https://t.co/ujpl0zw2Wf",Anxitey
"Frank, was loving life watching me draw.
Using watercolours to add that final pow! Franks currently rolled up in a ball next to me sleeping, cats are so cute!
The flowers are abstract and drawn free hand. ✌️
#cats #drawingwithcats #painting #artist #anxietyart #anxiety #art https://t.co/zVcwD4mun2",Anxitey
"Happy Hoppy Easter! 
Hoping your Easter is extra bright and happy this year. 

#easter2022 
#virtualemdr #stress #anxiety #depression #ptsd #pain #healingjourney #mentalhealth #selfcare #childhoodtrauma #traumasurvivor #emdronline https://t.co/jRygWqxwRd",Anxitey
"#18for18 #22to0 #PTSD  #anxiety #SuicideAwareness #Depression #Easter2022

Day 107 of 365
Any time any where
All Vets &amp; anyone who suffers
One is too many

On this Easter day, or any other day
We are here to help you through things
Never feel alone, hurt, or don't know what to do https://t.co/Dj4XNGGUrG",Anxitey
"Dr Liam Reilly is a Health and Care Professions Council (HCPC) registered Clinical Psychologist and member of the British Psychological Society (BPS)

https://t.co/33aMIOOgQJ

#belfastpsychologyservices #psychologist #belfast #BPS #clinicalpsychologist #anxiety #depression #CBT https://t.co/B6km6pjJuT",Anxitey
"I have a cold and my nose is running so my prompt was ""brain mucous stream"" on #starryai and I kinda like it.

#aiart #AIArtwork #aiartist #aiartcommunity #digitalartwork #digitalart #mentalhealthawareness #anxiety https://t.co/os1fVBKbHo",Anxitey
"Research shows that communing with nature can improve your #memory, #focus, and #attention. 😊🌞🌳🌼

Your Brain Needs Vitamin N (nature) https://t.co/X4BqKUadn8 

#mentalhealth #depression #anxiety #nature #outdoors #health #Sunday https://t.co/do15HfBqf4",Anxitey
"Easter morning early workout, church with the Protestants, brunch with David’s family, and then the Easter egg hunt with David’s nieces and nephews. Busy day today-lots of socialization. 😳😬😧 #anxiety #introvert #antisocial #nerd",Anxitey
/G\rand R💫sing‼️☀️ #NoDaysOff #SoberMovement #QuittersWin #MambaMentality #SoberLife #SoberDad #Over40AndFit #SoberAF #Sobriety #MentalHealth #DepressionAwareness #Anxiety  #ODAAT #ThisIsntEvenMyFinalForm #SoberGymRatsClub🐭 #Wolf #MasonsWhoLift #PHA #TravelingMan 💚🧬/G\ 💼🐐 https://t.co/Te96q9jzjS,Anxitey
"What can you do about Sleeplessness? 
https://t.co/kXxCu997dN  
#Insomnia #inabiliytogetsleep  #stress  #anxiety  #depression https://t.co/6wY2QRiXuK",Anxitey
"Are you afraid that you’ll die with your dream unrealized?
Afraid of failure? Wanna be #fearless?
#fear #anxiety #selfhelp #success #procrastination
https://t.co/tAR8f76nTs 
by #stevebivans https://t.co/LL63n2Iham",Anxitey
"Are you afraid that you’ll die with your dream unrealized?
Afraid of failure? Wanna be #fearless?
#fear #anxiety #selfhelp #success #procrastination
https://t.co/tAR8f76nTs 
by #stevebivans https://t.co/zvUeV6k6QL",Anxitey
"I have loyal people around me.

#Affirmation #Affirmations #Bekind #Inspirational #Positiveaffirmations #Destiny #Saturday #Peace✌ #Craftbizparty #Chooselove #Music #Fridayvibes #Original #Meditate #Adhdlife #Anxiety https://t.co/SV3cErfw1M",Anxitey
📝 Feedback for Chloe 🫶🏻 #MentalHealth #CBT #EMDR #PsychologicalTherapy #dronfield #chesterfield #sheffield #anxiety #depression #PrivateTherapy #phobia #HealthAnxiety #psychotherapy #worry #stress #panic #SocialAnxiety #OCD #PTSD #HappyClient #HappyCustomer #HappyEaster https://t.co/UMkkkKgCyc,Anxitey
"Tired of being Tired?

#Anxiety #exhaustion can be like nothing else.

 Take a look at this quick read on breaking that cycle.

https://t.co/nYHCrZgwW1

#StressAwarenessMonth 
#anxiety https://t.co/8I9kHnD8eW",Anxitey
